"past","key","val"
"washed their hair","q1_prop",0.999
"took a vacation","q1_prop",0.8
"went to a Renaissance fair","q1_prop",0.08
"drank lemonade","q1_prop",0.95
"wore a shirt","q1_prop",0.995
"went outside","q1_prop",0.999
"wore tie-dye","q1_prop",0.65
"went to a Renaissance fair","q1_prop",0.025
"bought their own groceries","q1_prop",0.9
"washed their hair","q1_prop",0.975
"wore shoes","q1_prop",0.999
"took dance lessons","q1_prop",0.25
"went skiing","q1_prop",0.15
"drove a car","q1_prop",0.6
"wore glasses","q1_prop",0.25
"used a cell phone","q1_prop",0.85
"ate pasta","q1_prop",0.75
"took a vacation","q1_prop",0.95
"changed their bedsheets","q1_prop",0.975
"ate breakfast","q1_prop",0.995
"exercised","q1_prop",0.75
"paid their taxes","q1_prop",0.85
"drank coffee","q1_prop",0.9
"wore a hat","q1_prop",0.82
"washed their dishes","q1_prop",0.95
"ate meat","q1_prop",0.999
"had a birthday party","q1_prop",0.75
"went on a hike","q1_prop",0.45
"wore a hat","q1_prop",0.5
"took dance lessons","q1_prop",0.05
"wore shoes","q1_prop",0.999
"wore glasses","q1_prop",0.02
"went to a Renaissance fair","q1_prop",0.05
"washed their hair","q1_prop",0.999
"took a vacation","q1_prop",0.1
"drank coffee","q1_prop",0.2
"drank lemonade","q1_prop",0.5
"washed their dishes","q1_prop",0.9
"used a cell phone","q1_prop",0.5
"bought their own groceries","q1_prop",0.4
"ate pasta","q1_prop",0.5
"went on a hike","q1_prop",0.2
"exercised","q1_prop",0.3
"wore a shirt","q1_prop",0.999
"ate meat","q1_prop",0.9
"went skiing","q1_prop",0.2
"paid their taxes","q1_prop",0.8
"wore tie-dye","q1_prop",0.1
"changed their bedsheets","q1_prop",0.7
"drove a car","q1_prop",0.3
"went outside","q1_prop",0.999
"had a birthday party","q1_prop",0.9
"ate breakfast","q1_prop",0.9
"had a birthday party","q1_prop",0.999
"went on a hike","q1_prop",0.55
"took a vacation","q1_prop",0.9
"wore glasses","q1_prop",0.95
"went outside","q1_prop",0.999
"ate pasta","q1_prop",0.999
"ate meat","q1_prop",0.95
"wore a hat","q1_prop",0.925
"exercised","q1_prop",0.85
"took dance lessons","q1_prop",0.08
"changed their bedsheets","q1_prop",0.9
"wore a shirt","q1_prop",0.999
"wore shoes","q1_prop",0.999
"drove a car","q1_prop",0.9
"went to a Renaissance fair","q1_prop",0.005
"paid their taxes","q1_prop",0.85
"drank lemonade","q1_prop",0.7
"wore tie-dye","q1_prop",0.1
"washed their dishes","q1_prop",0.925
"went skiing","q1_prop",0.25
"washed their hair","q1_prop",0.999
"bought their own groceries","q1_prop",0.95
"used a cell phone","q1_prop",0.995
"ate breakfast","q1_prop",0.999
"drank coffee","q1_prop",0.9
"ate pasta","q1_prop",0.99
"ate meat","q1_prop",0.9
"washed their dishes","q1_prop",0.999
"bought their own groceries","q1_prop",0.999
"took dance lessons","q1_prop",0.6
"went outside","q1_prop",0.7
"went skiing","q1_prop",0.8
"paid their taxes","q1_prop",0.999
"washed their hair","q1_prop",0.9
"drank lemonade","q1_prop",0.9
"wore tie-dye","q1_prop",0.9
"changed their bedsheets","q1_prop",0.8
"drove a car","q1_prop",0.9
"ate breakfast","q1_prop",0.8
"went to a Renaissance fair","q1_prop",0.9
"had a birthday party","q1_prop",0.7
"wore a shirt","q1_prop",0.8
"wore shoes","q1_prop",0.8
"wore glasses","q1_prop",0.9
"used a cell phone","q1_prop",0.8
"exercised","q1_prop",0.8
"drank coffee","q1_prop",0.7
"wore a hat","q1_prop",0.8
"went on a hike","q1_prop",0.7
"took a vacation","q1_prop",0.8
"went skiing","q1_prop",0.9
"drank coffee","q1_prop",0.999
"wore tie-dye","q1_prop",0.4
"went to a Renaissance fair","q1_prop",0.2
"washed their dishes","q1_prop",0.999
"exercised","q1_prop",0.8
"paid their taxes","q1_prop",0.999
"drank lemonade","q1_prop",0.6
"took a vacation","q1_prop",0.5
"took dance lessons","q1_prop",0.4
"wore glasses","q1_prop",0.8
"wore a shirt","q1_prop",0.999
"wore a hat","q1_prop",0.999
"drove a car","q1_prop",0.5
"ate breakfast","q1_prop",0.999
"went on a hike","q1_prop",0.6
"had a birthday party","q1_prop",0.4
"changed their bedsheets","q1_prop",0.8
"ate meat","q1_prop",0.9
"used a cell phone","q1_prop",0.8
"wore shoes","q1_prop",0.999
"washed their hair","q1_prop",0.999
"bought their own groceries","q1_prop",0.7
"went outside","q1_prop",0.999
"ate pasta","q1_prop",0.9
"went outside","q1_prop",0.999
"used a cell phone","q1_prop",0.7
"had a birthday party","q1_prop",0.8
"ate breakfast","q1_prop",0.9
"went to a Renaissance fair","q1_prop",0.3
"bought their own groceries","q1_prop",0.95
"took a vacation","q1_prop",0.9
"ate meat","q1_prop",0.8
"washed their dishes","q1_prop",0.8
"exercised","q1_prop",0.86
"changed their bedsheets","q1_prop",0.95
"drove a car","q1_prop",0.6
"wore glasses","q1_prop",0.4
"went on a hike","q1_prop",0.6
"wore a hat","q1_prop",0.4
"took dance lessons","q1_prop",0.2
"drank coffee","q1_prop",0.7
"wore tie-dye","q1_prop",0.4
"wore shoes","q1_prop",0.999
"paid their taxes","q1_prop",0.999
"washed their hair","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"went skiing","q1_prop",0.5
"drank lemonade","q1_prop",0.5
"ate pasta","q1_prop",0.8
"went to a Renaissance fair","q1_prop",0.01
"washed their dishes","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"drank lemonade","q1_prop",0.75
"wore a hat","q1_prop",0.999
"paid their taxes","q1_prop",0.75
"ate meat","q1_prop",0.95
"went outside","q1_prop",0.999
"ate pasta","q1_prop",0.75
"bought their own groceries","q1_prop",0.9
"drank coffee","q1_prop",0.75
"went skiing","q1_prop",0.5
"wore glasses","q1_prop",0.25
"ate breakfast","q1_prop",0.999
"wore shoes","q1_prop",0.999
"drove a car","q1_prop",0.75
"exercised","q1_prop",0.999
"had a birthday party","q1_prop",0.999
"changed their bedsheets","q1_prop",0.999
"took a vacation","q1_prop",0.999
"used a cell phone","q1_prop",0.75
"went on a hike","q1_prop",0.999
"wore tie-dye","q1_prop",0.75
"took dance lessons","q1_prop",0.25
"washed their hair","q1_prop",0.999
"wore tie-dye","q1_prop",0.45
"wore shoes","q1_prop",0.995
"drank lemonade","q1_prop",0.89
"went skiing","q1_prop",0.125
"wore glasses","q1_prop",0.475
"ate meat","q1_prop",0.925
"took dance lessons","q1_prop",0.05
"ate pasta","q1_prop",0.95
"exercised","q1_prop",0.96
"went on a hike","q1_prop",0.45
"ate breakfast","q1_prop",0.999
"had a birthday party","q1_prop",0.99
"took a vacation","q1_prop",0.97
"washed their hair","q1_prop",0.975
"drank coffee","q1_prop",0.65
"changed their bedsheets","q1_prop",0.995
"washed their dishes","q1_prop",0.75
"bought their own groceries","q1_prop",0.35
"wore a hat","q1_prop",0.78
"used a cell phone","q1_prop",0.795
"went to a Renaissance fair","q1_prop",0.15
"drove a car","q1_prop",0.44
"wore a shirt","q1_prop",0.999
"went outside","q1_prop",0.999
"paid their taxes","q1_prop",0.475
"ate pasta","q1_prop",0.097
"drank lemonade","q1_prop",0.85
"used a cell phone","q1_prop",0.88
"paid their taxes","q1_prop",0.6
"washed their dishes","q1_prop",0.95
"ate breakfast","q1_prop",0.998
"bought their own groceries","q1_prop",0.82
"ate meat","q1_prop",0.72
"drove a car","q1_prop",0.73
"wore shoes","q1_prop",0.999
"washed their hair","q1_prop",0.99
"went skiing","q1_prop",0.1
"had a birthday party","q1_prop",0.8
"took a vacation","q1_prop",0.6
"took dance lessons","q1_prop",0.2
"wore a hat","q1_prop",0.998
"changed their bedsheets","q1_prop",0.85
"exercised","q1_prop",0.995
"drank coffee","q1_prop",0.7
"went outside","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.01
"wore glasses","q1_prop",0.25
"went on a hike","q1_prop",0.38
"wore a shirt","q1_prop",0.999
"wore tie-dye","q1_prop",0.2
"wore a hat","q1_prop",0.999
"paid their taxes","q1_prop",0.99
"changed their bedsheets","q1_prop",0.98
"wore tie-dye","q1_prop",0.25
"exercised","q1_prop",0.975
"used a cell phone","q1_prop",0.998
"had a birthday party","q1_prop",0.7
"wore glasses","q1_prop",0.75
"went skiing","q1_prop",0.2
"bought their own groceries","q1_prop",0.8
"washed their dishes","q1_prop",0.6
"washed their hair","q1_prop",0.8
"took dance lessons","q1_prop",0.3
"ate meat","q1_prop",0.95
"drove a car","q1_prop",0.5
"went to a Renaissance fair","q1_prop",0.15
"wore shoes","q1_prop",0.998
"went on a hike","q1_prop",0.1
"wore a shirt","q1_prop",0.999
"ate pasta","q1_prop",0.92
"drank coffee","q1_prop",0.7
"ate breakfast","q1_prop",0.95
"drank lemonade","q1_prop",0.7
"took a vacation","q1_prop",0.8
"went outside","q1_prop",0.998
"went skiing","q1_prop",0.05
"ate breakfast","q1_prop",0.999
"wore a hat","q1_prop",0.999
"went outside","q1_prop",0.999
"washed their dishes","q1_prop",0.8
"wore glasses","q1_prop",0.3
"bought their own groceries","q1_prop",0.5
"took dance lessons","q1_prop",0.05
"had a birthday party","q1_prop",0.7
"took a vacation","q1_prop",0.1
"went to a Renaissance fair","q1_prop",0.025
"used a cell phone","q1_prop",0.5
"exercised","q1_prop",0.5
"went on a hike","q1_prop",0.25
"drank lemonade","q1_prop",0.75
"changed their bedsheets","q1_prop",0.6
"paid their taxes","q1_prop",0.4
"drove a car","q1_prop",0.9
"ate meat","q1_prop",0.95
"wore shoes","q1_prop",0.999
"ate pasta","q1_prop",0.9
"wore tie-dye","q1_prop",0.4
"washed their hair","q1_prop",0.999
"drank coffee","q1_prop",0.4
"wore a shirt","q1_prop",0.999
"ate breakfast","q1_prop",0.999
"took a vacation","q1_prop",0.5
"wore glasses","q1_prop",0.8
"went skiing","q1_prop",0.1
"washed their dishes","q1_prop",0.99
"drank lemonade","q1_prop",0.9
"wore shoes","q1_prop",0.999
"changed their bedsheets","q1_prop",0.999
"ate meat","q1_prop",0.99
"bought their own groceries","q1_prop",0.95
"used a cell phone","q1_prop",0.995
"wore a shirt","q1_prop",0.999
"went outside","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.01
"drank coffee","q1_prop",0.9
"went on a hike","q1_prop",0.01
"paid their taxes","q1_prop",0.95
"took dance lessons","q1_prop",0.05
"exercised","q1_prop",0.9
"had a birthday party","q1_prop",0.9
"wore tie-dye","q1_prop",0.01
"ate pasta","q1_prop",0.95
"wore a hat","q1_prop",0.8
"drove a car","q1_prop",0.6
"washed their hair","q1_prop",0.999
"washed their hair","q1_prop",0.999
"used a cell phone","q1_prop",0.98
"washed their dishes","q1_prop",0.99
"went outside","q1_prop",0.999
"changed their bedsheets","q1_prop",0.99
"paid their taxes","q1_prop",0.925
"went skiing","q1_prop",0.2
"drank lemonade","q1_prop",0.6
"bought their own groceries","q1_prop",0.9
"ate meat","q1_prop",0.975
"wore shoes","q1_prop",0.999
"wore glasses","q1_prop",0.4
"took a vacation","q1_prop",0.6
"went to a Renaissance fair","q1_prop",0.25
"exercised","q1_prop",0.7
"had a birthday party","q1_prop",0.65
"ate pasta","q1_prop",0.8
"took dance lessons","q1_prop",0.15
"wore a hat","q1_prop",0.8
"ate breakfast","q1_prop",0.99
"wore a shirt","q1_prop",0.999
"drank coffee","q1_prop",0.85
"drove a car","q1_prop",0.7
"wore tie-dye","q1_prop",0.05
"went on a hike","q1_prop",0.15
"wore tie-dye","q1_prop",0.8
"wore a hat","q1_prop",0.9
"went skiing","q1_prop",0.3
"drank coffee","q1_prop",0.9
"drank lemonade","q1_prop",0.9
"went outside","q1_prop",0.999
"changed their bedsheets","q1_prop",0.9
"bought their own groceries","q1_prop",0.8
"went to a Renaissance fair","q1_prop",0.3
"drove a car","q1_prop",0.8
"went on a hike","q1_prop",0.6
"ate pasta","q1_prop",0.95
"washed their dishes","q1_prop",0.9
"used a cell phone","q1_prop",0.999
"ate meat","q1_prop",0.9
"wore shoes","q1_prop",0.999
"had a birthday party","q1_prop",0.8
"ate breakfast","q1_prop",0.999
"took a vacation","q1_prop",0.9
"took dance lessons","q1_prop",0.3
"paid their taxes","q1_prop",0.5
"wore glasses","q1_prop",0.6
"washed their hair","q1_prop",0.999
"exercised","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"washed their hair","q1_prop",0.999
"ate breakfast","q1_prop",0.999
"wore shoes","q1_prop",0.999
"used a cell phone","q1_prop",0.7
"took a vacation","q1_prop",0.6
"paid their taxes","q1_prop",0.8
"drank lemonade","q1_prop",0.85
"went on a hike","q1_prop",0.7
"wore a shirt","q1_prop",0.999
"wore glasses","q1_prop",0.5
"changed their bedsheets","q1_prop",0.9
"exercised","q1_prop",0.8
"wore tie-dye","q1_prop",0.4
"wore a hat","q1_prop",0.9
"had a birthday party","q1_prop",0.95
"drove a car","q1_prop",0.95
"went outside","q1_prop",0.999
"bought their own groceries","q1_prop",0.9
"ate meat","q1_prop",0.95
"went to a Renaissance fair","q1_prop",0.4
"drank coffee","q1_prop",0.9
"washed their dishes","q1_prop",0.9
"went skiing","q1_prop",0.6
"ate pasta","q1_prop",0.9
"took dance lessons","q1_prop",0.6
"used a cell phone","q1_prop",0.995
"wore a hat","q1_prop",0.96
"washed their hair","q1_prop",0.999
"had a birthday party","q1_prop",0.85
"drove a car","q1_prop",0.7
"wore tie-dye","q1_prop",0.125
"changed their bedsheets","q1_prop",0.98
"drank coffee","q1_prop",0.9
"went skiing","q1_prop",0.4
"paid their taxes","q1_prop",0.9
"drank lemonade","q1_prop",0.9
"washed their dishes","q1_prop",0.99
"wore glasses","q1_prop",0.55
"wore a shirt","q1_prop",0.999
"exercised","q1_prop",0.6
"ate pasta","q1_prop",0.9
"wore shoes","q1_prop",0.999
"took a vacation","q1_prop",0.7
"went to a Renaissance fair","q1_prop",0.2
"went on a hike","q1_prop",0.8
"ate breakfast","q1_prop",0.999
"went outside","q1_prop",0.999
"took dance lessons","q1_prop",0.1
"bought their own groceries","q1_prop",0.95
"ate meat","q1_prop",0.725
"paid their taxes","q1_prop",0.95
"drank lemonade","q1_prop",0.8
"had a birthday party","q1_prop",0.9
"washed their hair","q1_prop",0.99
"took a vacation","q1_prop",0.7
"wore a shirt","q1_prop",0.999
"wore a hat","q1_prop",0.999
"ate pasta","q1_prop",0.8
"used a cell phone","q1_prop",0.98
"bought their own groceries","q1_prop",0.8
"changed their bedsheets","q1_prop",0.95
"washed their dishes","q1_prop",0.9
"wore tie-dye","q1_prop",0.2
"ate meat","q1_prop",0.925
"took dance lessons","q1_prop",0.1
"went skiing","q1_prop",0.4
"went to a Renaissance fair","q1_prop",0.4
"wore glasses","q1_prop",0.4
"exercised","q1_prop",0.999
"drove a car","q1_prop",0.7
"ate breakfast","q1_prop",0.999
"wore shoes","q1_prop",0.999
"went on a hike","q1_prop",0.7
"drank coffee","q1_prop",0.8
"went outside","q1_prop",0.999
"took a vacation","q1_prop",0.92
"changed their bedsheets","q1_prop",0.999
"went skiing","q1_prop",0.4
"wore a shirt","q1_prop",0.999
"wore shoes","q1_prop",0.999
"bought their own groceries","q1_prop",0.98
"drank lemonade","q1_prop",0.82
"ate meat","q1_prop",0.7
"exercised","q1_prop",0.8
"wore a hat","q1_prop",0.975
"paid their taxes","q1_prop",0.9
"wore tie-dye","q1_prop",0.4
"ate pasta","q1_prop",0.75
"had a birthday party","q1_prop",0.9
"went to a Renaissance fair","q1_prop",0.45
"went on a hike","q1_prop",0.375
"washed their hair","q1_prop",0.999
"drove a car","q1_prop",0.85
"took dance lessons","q1_prop",0.25
"drank coffee","q1_prop",0.77
"used a cell phone","q1_prop",0.8
"ate breakfast","q1_prop",0.999
"wore glasses","q1_prop",0.35
"went outside","q1_prop",0.999
"washed their dishes","q1_prop",0.99
"ate meat","q1_prop",0.9
"used a cell phone","q1_prop",0.9
"ate pasta","q1_prop",0.85
"washed their dishes","q1_prop",0.95
"took dance lessons","q1_prop",0.4
"took a vacation","q1_prop",0.8
"went on a hike","q1_prop",0.7
"wore a hat","q1_prop",0.8
"exercised","q1_prop",0.9
"had a birthday party","q1_prop",0.9
"bought their own groceries","q1_prop",0.9
"wore shoes","q1_prop",0.999
"went skiing","q1_prop",0.6
"went outside","q1_prop",0.999
"changed their bedsheets","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.4
"drove a car","q1_prop",0.9
"drank lemonade","q1_prop",0.8
"washed their hair","q1_prop",0.999
"paid their taxes","q1_prop",0.95
"drank coffee","q1_prop",0.85
"wore tie-dye","q1_prop",0.6
"ate breakfast","q1_prop",0.95
"wore glasses","q1_prop",0.6
"wore a shirt","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"went outside","q1_prop",0.999
"drank lemonade","q1_prop",0.9
"had a birthday party","q1_prop",0.8
"wore glasses","q1_prop",0.6
"paid their taxes","q1_prop",0.95
"took dance lessons","q1_prop",0.1
"ate pasta","q1_prop",0.975
"ate breakfast","q1_prop",0.999
"ate meat","q1_prop",0.9
"used a cell phone","q1_prop",0.8
"wore tie-dye","q1_prop",0.5
"took a vacation","q1_prop",0.5
"exercised","q1_prop",0.7
"went to a Renaissance fair","q1_prop",0.1
"washed their dishes","q1_prop",0.8
"went on a hike","q1_prop",0.5
"wore a hat","q1_prop",0.9
"drank coffee","q1_prop",0.7
"bought their own groceries","q1_prop",0.6
"washed their hair","q1_prop",0.999
"changed their bedsheets","q1_prop",0.6
"wore shoes","q1_prop",0.999
"went skiing","q1_prop",0.2
"drove a car","q1_prop",0.5
"drove a car","q1_prop",0.8
"went outside","q1_prop",0.999
"ate breakfast","q1_prop",0.999
"went on a hike","q1_prop",0.6
"had a birthday party","q1_prop",0.999
"wore a hat","q1_prop",0.95
"wore a shirt","q1_prop",0.999
"washed their dishes","q1_prop",0.9
"bought their own groceries","q1_prop",0.85
"went skiing","q1_prop",0.4
"washed their hair","q1_prop",0.999
"drank coffee","q1_prop",0.85
"wore tie-dye","q1_prop",0.75
"exercised","q1_prop",0.95
"used a cell phone","q1_prop",0.98
"took dance lessons","q1_prop",0.2
"ate pasta","q1_prop",0.999
"ate meat","q1_prop",0.95
"wore shoes","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.6
"wore glasses","q1_prop",0.6
"changed their bedsheets","q1_prop",0.95
"paid their taxes","q1_prop",0.9
"drank lemonade","q1_prop",0.95
"took a vacation","q1_prop",0.9
"exercised","q1_prop",0.4
"took dance lessons","q1_prop",0.05
"used a cell phone","q1_prop",0.915
"wore tie-dye","q1_prop",0.01
"went skiing","q1_prop",0.05
"washed their dishes","q1_prop",0.875
"changed their bedsheets","q1_prop",0.8
"bought their own groceries","q1_prop",0.7
"went to a Renaissance fair","q1_prop",0.005
"washed their hair","q1_prop",0.95
"drove a car","q1_prop",0.6
"wore glasses","q1_prop",0.15
"ate pasta","q1_prop",0.8
"drank coffee","q1_prop",0.5
"went on a hike","q1_prop",0.025
"ate breakfast","q1_prop",0.9
"ate meat","q1_prop",0.6
"wore a hat","q1_prop",0.25
"paid their taxes","q1_prop",0.85
"drank lemonade","q1_prop",0.25
"wore shoes","q1_prop",0.97
"went outside","q1_prop",0.989
"took a vacation","q1_prop",0.35
"wore a shirt","q1_prop",0.98
"had a birthday party","q1_prop",0.6
"washed their hair","q1_prop",0.99
"ate meat","q1_prop",0.995
"went outside","q1_prop",0.999
"took dance lessons","q1_prop",0.35
"wore a shirt","q1_prop",0.995
"had a birthday party","q1_prop",0.99
"drove a car","q1_prop",0.5
"ate pasta","q1_prop",0.95
"paid their taxes","q1_prop",0.5
"took a vacation","q1_prop",0.97
"went on a hike","q1_prop",0.97
"drank lemonade","q1_prop",0.97
"wore glasses","q1_prop",0.8
"washed their dishes","q1_prop",0.95
"went skiing","q1_prop",0.5
"went to a Renaissance fair","q1_prop",0.1
"drank coffee","q1_prop",0.8
"ate breakfast","q1_prop",0.995
"used a cell phone","q1_prop",0.97
"wore tie-dye","q1_prop",0.1
"wore shoes","q1_prop",0.999
"bought their own groceries","q1_prop",0.98
"wore a hat","q1_prop",0.99
"changed their bedsheets","q1_prop",0.98
"exercised","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.015
"washed their hair","q1_prop",0.935
"ate breakfast","q1_prop",0.999
"used a cell phone","q1_prop",0.95
"had a birthday party","q1_prop",0.9
"paid their taxes","q1_prop",0.7
"went on a hike","q1_prop",0.8
"wore a hat","q1_prop",0.85
"ate meat","q1_prop",0.94
"ate pasta","q1_prop",0.94
"wore glasses","q1_prop",0.25
"took dance lessons","q1_prop",0.2
"wore shoes","q1_prop",0.999
"drank coffee","q1_prop",0.75
"went outside","q1_prop",0.99
"went skiing","q1_prop",0.3
"exercised","q1_prop",0.82
"washed their dishes","q1_prop",0.8
"changed their bedsheets","q1_prop",0.65
"wore a shirt","q1_prop",0.99
"bought their own groceries","q1_prop",0.7
"drove a car","q1_prop",0.775
"wore tie-dye","q1_prop",0.2
"took a vacation","q1_prop",0.7
"drank lemonade","q1_prop",0.8
"went outside","q1_prop",0.999
"had a birthday party","q1_prop",0.925
"wore tie-dye","q1_prop",0.3
"ate breakfast","q1_prop",0.999
"took a vacation","q1_prop",0.6
"bought their own groceries","q1_prop",0.999
"took dance lessons","q1_prop",0.15
"washed their dishes","q1_prop",0.999
"exercised","q1_prop",0.99
"wore a hat","q1_prop",0.91
"drank coffee","q1_prop",0.95
"changed their bedsheets","q1_prop",0.95
"went skiing","q1_prop",0.2
"wore glasses","q1_prop",0.775
"drove a car","q1_prop",0.9
"washed their hair","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.3
"wore a shirt","q1_prop",0.999
"ate pasta","q1_prop",0.999
"went on a hike","q1_prop",0.4
"used a cell phone","q1_prop",0.95
"ate meat","q1_prop",0.999
"drank lemonade","q1_prop",0.95
"wore shoes","q1_prop",0.999
"paid their taxes","q1_prop",0.95
"ate meat","q2_prop",0.5
"paid their taxes","q2_prop",0.9
"drank lemonade","q2_prop",0.2
"drank coffee","q2_prop",0.25
"went to a Renaissance fair","q2_prop",0.1
"wore shoes","q2_prop",0.6
"ate pasta","q2_prop",0.2
"ate breakfast","q2_prop",0.5
"went outside","q2_prop",0.7
"changed their bedsheets","q2_prop",0.1
"bought their own groceries","q2_prop",0.6
"wore tie-dye","q2_prop",0.002
"wore a shirt","q2_prop",0.9
"exercised","q2_prop",0.4
"drove a car","q2_prop",0.4
"took dance lessons","q2_prop",0.001
"took a vacation","q2_prop",0.3
"went skiing","q2_prop",0.1
"used a cell phone","q2_prop",0.999
"wore glasses","q2_prop",0.65
"wore a hat","q2_prop",0.2
"washed their hair","q2_prop",0.6
"washed their dishes","q2_prop",0.4
"had a birthday party","q2_prop",0.9
"went on a hike","q2_prop",0.05
"had a birthday party","q2_prop",0.1
"wore a shirt","q2_prop",0.95
"paid their taxes","q2_prop",0.8
"went skiing","q2_prop",0.05
"exercised","q2_prop",0.4
"bought their own groceries","q2_prop",0.97
"wore glasses","q2_prop",0.7
"ate meat","q2_prop",0.75
"drank coffee","q2_prop",0.7
"wore a hat","q2_prop",0.4
"washed their hair","q2_prop",0.8
"wore shoes","q2_prop",0.98
"ate breakfast","q2_prop",0.6
"took a vacation","q2_prop",0.3
"went to a Renaissance fair","q2_prop",0.1
"changed their bedsheets","q2_prop",0.8
"took dance lessons","q2_prop",0.1
"went outside","q2_prop",0.999
"used a cell phone","q2_prop",0.999
"washed their dishes","q2_prop",0.999
"drank lemonade","q2_prop",0.2
"ate pasta","q2_prop",0.8
"went on a hike","q2_prop",0.4
