"past","key","val"
"ate meat","q1_prop",0.9
"paid their taxes","q1_prop",0.95
"drank lemonade","q1_prop",0.7
"drank coffee","q1_prop",0.5
"went to a Renaissance fair","q1_prop",0.3
"wore shoes","q1_prop",0.999
"ate pasta","q1_prop",0.85
"ate breakfast","q1_prop",0.999
"went outside","q1_prop",0.999
"changed their bedsheets","q1_prop",0.975
"bought their own groceries","q1_prop",0.9
"wore tie-dye","q1_prop",0.2
"wore a shirt","q1_prop",0.9
"exercised","q1_prop",0.8
"drove a car","q1_prop",0.5
"took dance lessons","q1_prop",0.1
"took a vacation","q1_prop",0.6
"went skiing","q1_prop",0.3
"used a cell phone","q1_prop",0.999
"wore glasses","q1_prop",0.7
"wore a hat","q1_prop",0.5
"washed their hair","q1_prop",0.998
"washed their dishes","q1_prop",0.8
"had a birthday party","q1_prop",0.95
"went on a hike","q1_prop",0.4
"had a birthday party","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"paid their taxes","q1_prop",0.9
"went skiing","q1_prop",0.1
"exercised","q1_prop",0.999
"bought their own groceries","q1_prop",0.999
"wore glasses","q1_prop",0.75
"ate meat","q1_prop",0.9
"drank coffee","q1_prop",0.95
"wore a hat","q1_prop",0.999
"washed their hair","q1_prop",0.999
"wore shoes","q1_prop",0.999
"ate breakfast","q1_prop",0.999
"took a vacation","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.1
"changed their bedsheets","q1_prop",0.999
"took dance lessons","q1_prop",0.5
"went outside","q1_prop",0.999
"used a cell phone","q1_prop",0.999
"washed their dishes","q1_prop",0.999
"drank lemonade","q1_prop",0.9
"ate pasta","q1_prop",0.999
"went on a hike","q1_prop",0.9
"drove a car","q1_prop",0.999
"wore tie-dye","q1_prop",0.6
"paid their taxes","q1_prop",0.9
"ate pasta","q1_prop",0.95
"drove a car","q1_prop",0.9
"changed their bedsheets","q1_prop",0.95
"washed their hair","q1_prop",0.96
"went on a hike","q1_prop",0.2
"took a vacation","q1_prop",0.3
"wore a hat","q1_prop",0.7
"drank lemonade","q1_prop",0.6
"had a birthday party","q1_prop",0.6
"wore shoes","q1_prop",0.96
"ate breakfast","q1_prop",0.96
"exercised","q1_prop",0.5
"ate meat","q1_prop",0.5
"washed their dishes","q1_prop",0.5
"drank coffee","q1_prop",0.5
"wore a shirt","q1_prop",0.8
"wore glasses","q1_prop",0.3
"went outside","q1_prop",0.999
"used a cell phone","q1_prop",0.6
"took dance lessons","q1_prop",0.3
"wore tie-dye","q1_prop",0.3
"bought their own groceries","q1_prop",0.5
"went to a Renaissance fair","q1_prop",0.2
"went skiing","q1_prop",0.1
"ate pasta","q1_prop",0.9
"wore shoes","q1_prop",0.998
"used a cell phone","q1_prop",0.85
"bought their own groceries","q1_prop",0.95
"went skiing","q1_prop",0.4
"wore glasses","q1_prop",0.6
"wore a shirt","q1_prop",0.999
"went to a Renaissance fair","q1_prop",0.15
"exercised","q1_prop",0.8
"ate breakfast","q1_prop",0.999
"paid their taxes","q1_prop",0.98
"had a birthday party","q1_prop",0.95
"washed their dishes","q1_prop",0.9
"took a vacation","q1_prop",0.4
"went on a hike","q1_prop",0.15
"changed their bedsheets","q1_prop",0.95
"took dance lessons","q1_prop",0.15
"went outside","q1_prop",0.999
"drove a car","q1_prop",0.7
"wore tie-dye","q1_prop",0.099
"drank coffee","q1_prop",0.75
"wore a hat","q1_prop",0.65
"washed their hair","q1_prop",0.999
"drank lemonade","q1_prop",0.95
"ate meat","q1_prop",0.875
"exercised","q1_prop",0.9
"took dance lessons","q1_prop",0.01
"went outside","q1_prop",0.999
"had a birthday party","q1_prop",0.999
"drank coffee","q1_prop",0.999
"ate breakfast","q1_prop",0.999
"wore a hat","q1_prop",0.999
"wore a shirt","q1_prop",0.999
"ate meat","q1_prop",0.999
"drove a car","q1_prop",0.8
"went on a hike","q1_prop",0.9
"drank lemonade","q1_prop",0.975
"wore glasses","q1_prop",0.035
"went skiing","q1_prop",0.0025
"paid their taxes","q1_prop",0.999
"bought their own groceries","q1_prop",0.99
"ate pasta","q1_prop",0.999
"wore shoes","q1_prop",0.999
"washed their dishes","q1_prop",0.999
"wore tie-dye","q1_prop",0.035
"changed their bedsheets","q1_prop",0.999
"used a cell phone","q1_prop",0.99
